iter	RMSE
0	25.30557012
1	24.83957242
2	24.30942781
3	23.85542083
4	23.41190025
5	22.94743494
6	22.52065203
7	22.07625563
8	21.70459697
9	21.33698762
10	20.95741065
11	20.58356065
12	20.20391296
13	19.82835305
14	19.47787984
15	19.15740823
16	18.82438392
17	18.52441657
18	18.20532807
19	17.88883617
20	17.60618403
21	17.32748393
22	17.04763766
23	16.81359748
24	16.56616937
25	16.32507257
26	16.1118035
27	15.90151531
28	15.66678665
29	15.44355162
30	15.22760288
31	15.0079819
32	14.81942994
33	14.63627841
34	14.44996439
35	14.26609883
36	14.09884157
37	13.91797397
38	13.77595674
39	13.61450345
40	13.45149292
41	13.31548855
42	13.18561254
43	13.0365271
44	12.91948499
45	12.79832741
46	12.66483931
47	12.54186821
48	12.42887035
49	12.32205297
50	12.23475959
51	12.14252274
52	12.0431781
53	11.95193532
54	11.84965922
55	11.77550944
56	11.68047325
57	11.59259891
58	11.50369635
59	11.42164079
60	11.34721842
61	11.27765398
62	11.2111836
63	11.13979522
64	11.06745342
65	11.00384823
66	10.93502954
67	10.87897916
68	10.82032877
69	10.76369132
70	10.70079029
71	10.64362629
72	10.59607014
73	10.54681751
74	10.4960271
75	10.44768895
76	10.40510171
77	10.35742651
78	10.31268173
79	10.27185348
80	10.23168621
81	10.19524542
82	10.15110517
83	10.10585878
84	10.07139246
85	10.03540426
86	10.00520797
87	9.970932698
88	9.940173946
89	9.906913297
90	9.876848287
91	9.849646157
92	9.821810099
93	9.793669582
94	9.760273619
95	9.733798529
96	9.711244915
97	9.682827725
98	9.651388271
99	9.62415883
100	9.6025351
101	9.583402488
102	9.558341258
103	9.535851826
104	9.516527918
105	9.49547145
106	9.475552631
107	9.457518456
108	9.439548694
109	9.423737393
110	9.404615889
111	9.384516102
112	9.367559231
113	9.348302058
114	9.328375588
115	9.3149476
116	9.298123865
117	9.282149599
118	9.265575616
119	9.25115536
120	9.23496235
121	9.22086729
122	9.203911695
123	9.191044085
124	9.176038615
125	9.161441616
126	9.146692819
127	9.134286718
128	9.122745454
129	9.111486414
130	9.098809014
131	9.085380164
132	9.073884069
133	9.062200098
134	9.051074977
135	9.037327798
136	9.024133361
137	9.020156404
138	9.006646034
139	8.995362328
140	8.984921673
141	8.973409507
142	8.963240374
143	8.952728335
144	8.946795737
145	8.935257835
146	8.921710209
147	8.910306099
148	8.901959749
149	8.89435878
150	8.88376267
151	8.869181999
152	8.859773114
153	8.852106174
154	8.842071557
155	8.833057037
156	8.826099972
157	8.816227309
158	8.798727473
159	8.786883102
160	8.773498261
161	8.760735981
162	8.751999763
163	8.742761768
164	8.729532648
165	8.719538239
166	8.71090441
167	8.705526203
168	8.695850057
169	8.683727346
170	8.668996844
171	8.660967021
172	8.650479107
173	8.636467015
174	8.62010505
175	8.610579385
176	8.601796797
177	8.594270793
178	8.58564621
179	8.57656518
180	8.571901572
181	8.56136045
182	8.554109644
183	8.547596657
184	8.539065878
185	8.526644885
186	8.520815967
187	8.51001824
188	8.50532768
189	8.497671369
190	8.490883262
191	8.48605525
192	8.480422982
193	8.468983378
194	8.465078508
195	8.454029266
196	8.445195777
197	8.43867599
198	8.431188991
199	8.423218622
200	8.415260445
201	8.409508451
202	8.402932435
203	8.394666765
204	8.387991847
205	8.381957852
206	8.373125905
207	8.364589562
208	8.358920887
209	8.353567238
210	8.345542148
211	8.340162015
212	8.329144169
213	8.321645228
214	8.31487235
215	8.309122606
216	8.300516786
217	8.29426499
218	8.284578982
219	8.275490731
220	8.257944705
221	8.252967145
222	8.24732728
223	8.240642838
224	8.2337111
225	8.22744516
226	8.218733328
227	8.210837981
228	8.205036041
229	8.197505358
230	8.191064376
231	8.185768524
232	8.174234981
233	8.166819961
234	8.161660079
235	8.154292678
236	8.148315134
237	8.138978796
238	8.129545021
239	8.124705891
240	8.11946618
241	8.112436034
242	8.107631849
243	8.095829673
244	8.091075139
245	8.084335698
246	8.077136543
247	8.070194855
248	8.065707915
249	8.062024642
250	8.051661963
251	8.045792471
252	8.033976121
253	8.028375696
254	8.02270374
255	8.016918728
256	8.0100141
257	8.000134668
258	7.995832245
259	7.991628404
260	7.986737251
261	7.982506283
262	7.978082584
263	7.967792282
264	7.960416395
265	7.957154899
266	7.952442667
267	7.939712134
268	7.932875026
269	7.930209986
270	7.925604388
271	7.916606816
272	7.91179808
273	7.9044077
274	7.897632788
275	7.889871929
276	7.88324783
277	7.878603446
278	7.87206745
279	7.866299148
280	7.860123773
281	7.855843949
282	7.847034424
283	7.842650698
284	7.837779554
285	7.831819035
286	7.823301224
287	7.820375767
288	7.810337523
289	7.797547243
290	7.793262599
291	7.78966954
292	7.784224392
293	7.781093584
294	7.774092965
295	7.766332766
296	7.763580985
297	7.758453342
298	7.751140223
