iter	Passed	Remaining
0	25	37819
1	46	34810
2	68	33978
3	89	33514
4	111	33210
5	133	33117
6	153	32679
7	173	32448
8	194	32238
9	215	32148
10	235	31934
11	256	31818
12	277	31774
13	298	31707
14	319	31679
15	340	31615
16	361	31544
17	381	31448
18	402	31351
19	423	31349
20	443	31264
21	465	31250
22	486	31269
23	508	31242
24	529	31260
25	550	31202
26	570	31138
27	592	31123
28	611	31035
29	631	30961
30	651	30849
31	671	30807
32	691	30757
33	713	30746
34	733	30715
35	754	30691
36	775	30680
37	797	30686
38	818	30672
39	840	30691
40	861	30643
41	879	30539
42	899	30481
43	921	30509
44	942	30476
45	962	30428
46	983	30416
47	1002	30333
48	1025	30367
49	1046	30349
50	1066	30296
51	1086	30252
52	1107	30228
53	1126	30159
54	1147	30142
55	1168	30125
56	1188	30094
57	1208	30045
58	1229	30031
59	1249	29980
60	1269	29949
61	1289	29897
62	1310	29898
63	1329	29841
64	1349	29790
65	1370	29774
66	1391	29764
67	1411	29724
68	1432	29707
69	1452	29675
70	1473	29661
71	1495	29667
72	1515	29633
73	1536	29615
74	1557	29597
75	1577	29553
76	1597	29530
77	1617	29486
78	1638	29475
79	1660	29466
80	1680	29432
81	1701	29428
82	1722	29410
83	1743	29396
84	1763	29362
85	1784	29343
86	1804	29303
87	1824	29267
88	1844	29242
89	1865	29219
90	1886	29210
91	1906	29184
92	1929	29186
93	1948	29138
94	1968	29105
95	1986	29059
96	2005	29014
97	2027	29005
98	2048	28992
99	2070	28987
100	2090	28952
101	2111	28944
102	2132	28924
103	2151	28886
104	2172	28860
105	2195	28866
106	2217	28863
107	2236	28831
108	2256	28800
109	2276	28764
110	2296	28734
111	2317	28721
112	2337	28692
113	2356	28653
114	2376	28626
115	2398	28619
116	2421	28621
117	2440	28587
118	2463	28585
119	2483	28554
120	2503	28531
121	2524	28515
122	2543	28476
123	2565	28467
124	2586	28447
125	2605	28414
126	2625	28384
127	2647	28373
128	2666	28337
129	2685	28305
130	2705	28277
131	2725	28249
132	2747	28239
133	2767	28210
134	2788	28191
135	2808	28171
136	2828	28145
137	2849	28121
138	2870	28107
139	2891	28092
140	2914	28091
141	2936	28080
142	2955	28050
143	2977	28038
144	2997	28011
145	3018	27989
146	3039	27973
147	3058	27938
148	3078	27912
149	3098	27890
150	3118	27859
151	3139	27841
152	3159	27820
153	3181	27807
154	3202	27787
155	3223	27775
156	3243	27743
157	3264	27728
158	3285	27711
159	3305	27681
160	3325	27653
161	3346	27642
162	3366	27616
163	3389	27609
164	3409	27584
165	3429	27556
166	3450	27544
167	3471	27524
168	3491	27498
169	3514	27492
170	3535	27476
171	3556	27456
172	3575	27425
173	3595	27402
174	3614	27367
175	3635	27349
176	3655	27326
177	3675	27300
178	3698	27291
